expression,reading,meaning,meaning_indonesia,tags,guid
ギター,ギター,guitar,gitar,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,gl.RMMgxvn
汚い,きたない,"dirty, unclean, filthy","kotor, najis, kotor",Genki Genki_Ln.16 JLPT JLPT_5 JLPT_N5,gA&c1.)X%=
喫茶店,きっさてん,café,kafe,Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5,b3?(}lhy[4
切手,きって,postal (postage) stamps,perangko pos (prangko).,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5,GZ2eU+7^)f
切符,きっぷ,a ticket,sebuah tiket,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5,i@ntG+Gt0l
昨日,きのう,yesterday,Kemarin,Genki Genki_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5,"mMKJxv#,<s"
九,きゅう,nine,sembilan,JLPT JLPT_3 JLPT_5 JLPT_N5,PCz+i!/c^t
牛肉,ぎゅうにく,beef,daging sapi,JLPT JLPT_5 JLPT_N5,"HN>QIS,sa)"
牛乳,ぎゅうにゅう,milk,susu,Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5,fkn+n(t~hl
今日,きょう,"today, this day","hari ini, hari ini",Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,bCP{!%CS>.
教室,きょうしつ,classroom,kelas,Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5,jd>*%:rgPV
兄弟,きょうだい,"siblings (humble), brothers and sisters","saudara kandung (rendah hati), kakak beradik",Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,tg~Kr0A/Mn
去年,きょねん,last year,tahun lalu,Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,zrXmT>AI2s
嫌い,きらい,dislike,benci,JLPT JLPT_5 JLPT_N5,"qw1}y,Um4C"
切る,きる,to cut; to hang up (a phone),untuk memotong;,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5,A;e]B2v]77
着る,きる,to put on (clothes above your waist); to wear,untuk mengenakan (pakaian di atas pinggang Anda);,Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5,g$-Eqb.V#N
綺麗,きれい,"pretty, clean, tidy","cantik, bersih, rapi",JLPT JLPT_5 JLPT_N5,y:f/R>36c4
キロ; キログラム,キロ; キログラム,(abbr.) kilo (kilogram),(singkatan) kilo (kilogram),JLPT JLPT_3 JLPT_5 JLPT_N5,"v,MI,fa=Pd"
キロ; キロメートル,キロ; キロメートル,(abbr.) kilo (kilometer),(singkatan) kilo (kilometer),JLPT JLPT_3 JLPT_5 JLPT_N5,I+%u|o<M9)
銀行,ぎんこう,bank,bank,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,dJzM6E^Crr
金曜日,きんようび,Friday,Jumat,Genki Genki_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5,H)-<3>G;wq
九,く,nine,sembilan,JLPT JLPT_3 JLPT_5 JLPT_N5,J.@??p5!Es
薬,くすり,medicine,obat,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5,e<qA>@afcN
下さい,ください,(with te-form verb) please do for me,(dengan kata kerja bentuk te) tolong lakukan untuk saya,JLPT JLPT_5 JLPT_N5,wZXS53y~A
果物,くだもの,fruit,buah,Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5,"ff8}}%,}l0"
口,くち,job opening; mouth,pembukaan pekerjaan;,Intermediate_Japanese Intermediate_Japanese_Ln.11 Intermediate_Japanese_Ln.8 JLPT JLPT_5 JLPT_N5,ODcS@5Ag5;
靴,くつ,"shoes, footwear","sepatu, alas kaki",Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,n}XPqtAFrb
靴下,くつした,socks,kaus kaki,Genki Genki_Ln.23 JLPT JLPT_5 JLPT_N5,"m{wv6,~qH4"
国,くに,country; place of origin,negara;,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,qu43})1T{b
曇り,くもり,"cloudiness, cloudy weather","mendung, cuaca mendung",Genki Genki_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,"J%t?_,0ZZ)"
曇る,くもる,"to become cloudy, to become dim","menjadi berawan, menjadi redup",JLPT JLPT_5 JLPT_N5,h68<#-5u4*
暗い,くらい,"dark, gloomy","gelap, suram",JLPT JLPT_3 JLPT_5 JLPT_N5,l[W6inIL/c
～くらい; ぐらい,～くらい; ぐらい,approximate (quantity),perkiraan (kuantitas),JLPT JLPT_5 JLPT_N5,i|aE4l1U6h
クラス,クラス,a class,sebuah kelas,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,I|[#&/BoM*
グラム,グラム,gram,gram,JLPT JLPT_5 JLPT_N5,wf@~Kdx9Mo
来る,くる,to come,untuk datang,JLPT JLPT_5 JLPT_N5,t8%I(!NKuq
車,くるま,"car, vehicle","mobil, kendaraan",Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,Dp50G3U@L=
黒,くろ,black,hitam,JLPT JLPT_5 JLPT_N5,eM3bqzySWE
黒い,くろい,black; dark,hitam;,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,y`TB7E}KvC
警官,けいかん,police officer,petugas polisi,JLPT JLPT_5 JLPT_N5,r|k<lg[-^X
今朝,けさ,this morning,pagi ini,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,Ojh!YT%>_O
消す,けす,"to erase, to delete, to turn off power","untuk menghapus, menghapus, mematikan daya",JLPT JLPT_5 JLPT_N5,kyBQ8>]kOz
結構,けっこう,"splendid; enough, tolerably",bagus sekali;,JLPT JLPT_3 JLPT_5 JLPT_N5,OhYc[d+;sX
結婚,けっこん (する),marriage (get married),pernikahan (menikah),JLPT JLPT_5 JLPT_N5,yoFb9mQ>xx
月曜日,げつようび,Monday,Senin,Genki Genki_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5,py]#+qmS;#
玄関,げんかん,entrance (to a house or a building),pintu masuk (ke rumah atau gedung),Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_4 JLPT_5 JLPT_N5,nzna3U1d%4
元気,げんき,"health(y), energetic","kesehatan(y), energik",JLPT JLPT_5 JLPT_N5,C6oDoveAM%
～個,～こ,"counter for small items (e.g., fruits, cups)","counter untuk barang-barang kecil (misalnya buah-buahan, cangkir)",JLPT JLPT_2 JLPT_5 JLPT_N5,"L)v,!KJ|+1"
五,ご,five,lima,JLPT JLPT_3 JLPT_5 JLPT_N5,CPX]&C<[AA
～語,～ご,"word, language","kata, bahasa",JLPT JLPT_5 JLPT_N5,OS-NJNma:q
公園,こうえん,a park,sebuah taman,Genki Genki_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5,"I!nU=ub,Sv"
交差点,こうさてん,intersection,persimpangan,JLPT JLPT_5 JLPT_N5,fB2Ek#M/vd
紅茶,こうちゃ,black tea,teh hitam,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,k->[;qN`>7
交番,こうばん,police box,kotak polisi,JLPT JLPT_5 JLPT_N5,Opg/[%q+N8
声,こえ,voice,suara,Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,In/Jo>[]?<
コート,コート,"coat; court (e.g., tennis)",mantel;,JLPT JLPT_5 JLPT_N5,"e4scbA,t~J"
コーヒー,コーヒー,coffee,kopi,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,d<P1^SSa-:
ここ,ここ,"here, this place","di sini, tempat ini",Genki Genki_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5,Lq)wtpkam*
午後,ごご,"afternoon, P.M.","sore, P.M.",Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,C_ZC&#?>G!
九日,ここのか,nine days; ninth day of the month,sembilan hari;,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,l7hYJ[~^44
九つ,ここのつ,nine things,sembilan hal,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,DvF}1X8pH=
午前,ごぜん,"morning, A.M.","pagi, SAYA.",Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,ue~BwANA9n
答える,こたえる,"to answer, to reply","untuk menjawab, untuk membalas",JLPT JLPT_5 JLPT_N5,x<$h-)|1km
こちら,こちら,this person (polite); this way (polite),orang ini (sopan);,Genki Genki_Ln.11 Genki_Ln.19 JLPT JLPT_5 JLPT_N5,A^:pzWeFGD
こっち,こっち,this person; this direction; this side,orang ini;,JLPT JLPT_4 JLPT_5 JLPT_N5,KZ(~KRGBCG
コップ,コップ,a tumbler; a glass,sebuah gelas;,Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5,fS_r5k@$Y6
今年,ことし,this year,tahun ini,Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5,F4V9w7@Age
言葉,ことば,language; word(s); expression(s),bahasa;,Genki Genki_Ln.13 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,EWtR7eO/R4
子供,こども,child(ren),anak-anak),Genki Genki_Ln.4 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,CU[{wZ(D{$
この,この,this,ini,JLPT JLPT_3 JLPT_5 JLPT_N5,pPsd:zD9O?
御飯,ごはん,rice (cooked); meal,nasi (dimasak);,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,biiyLkNokP
コピーする,コピーする,to copy,untuk menyalin,JLPT JLPT_3 JLPT_5 JLPT_N5,pIfdJ-gQ=x
困る,こまる,"to be bothered, to have difficulty","merasa terganggu, mengalami kesulitan",Genki Genki_Ln.16 JLPT JLPT_5 JLPT_N5,QJ1l#P3oS5
これ,これ,this one,yang ini,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,CY7%/#&PC;
～ころ; ～ごろ,～ころ; ～ごろ,"about, toward, approximately (time)","tentang, menuju, kira-kira (waktu)",JLPT JLPT_5 JLPT_N5,ygFZGug3gm
今月,こんげつ,this month,bulan ini,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5,m1R02~~j[
今週,こんしゅう,this week,minggu ini,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5,DK9g?(!36`
こんな,こんな,"such, like this","seperti itu, seperti ini",JLPT JLPT_5 JLPT_N5,DuEU98EMih
今晩,こんばん,"tonight, this evening","malam ini, malam ini",Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,F3};?W>+5Y
さあ,さあ,"come now, well","ayo sekarang, baiklah",JLPT JLPT_5 JLPT_N5,Ag`@=t><OI
～歳,～さい,~ years old,~ tahun,JLPT JLPT_2 JLPT_5 JLPT_N5,yIt4LQzbb!
財布,さいふ,wallet,dompet,Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,xwbRMO4c<;
魚,さかな,fish,ikan,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,zzI@?Uq@Z[
先,さき,"future; recent, previous",masa depan;,JLPT JLPT_5 JLPT_N5,tGm0X7=@hF
咲く,さく,to bloom,mekar,Genki Genki_Ln.18 JLPT JLPT_3 JLPT_5 JLPT_N5,F>Pt~gStbR
作文,さくぶん,essay; composition,karangan;,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,fOn$od$Eoc
差す,さす,"to raise (stretch out) hands, to raise (e.g., umbrella)","untuk mengangkat (mengulurkan) tangan, untuk mengangkat (misalnya, payung)",JLPT JLPT_3 JLPT_5 JLPT_N5,b|c|&{UKxH
～冊,～さつ,counter for books,konter untuk buku,JLPT JLPT_5 JLPT_N5,DJ:3n{-XN%
雑誌,ざっし,"magazine, journal","majalah, jurnal",Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.8 JLPT JLPT_5 JLPT_N5,gVzfIhXfBF
砂糖,さとう,sugar,gula,Genki Genki_Ln.16 JLPT JLPT_5 JLPT_N5,M]8mQGX#}E
寒い,さむい,cold (in reference to weather),dingin (mengacu pada cuaca),Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,x@[mMxA?Z}
さ来年,さらいねん,year after next,tahun demi tahun berikutnya,JLPT JLPT_5 JLPT_N5,C4/Z2oi:V>
～さん,～さん,"Mr. ~, Ms. ~","Tuan ~, Nona ~",JLPT JLPT_2 JLPT_5 JLPT_N5,i|L#.MVmNG
三,さん,three,tiga,JLPT JLPT_5 JLPT_N5,jB}%X}YQ)P
散歩,さんぽ (する),"walk, stroll","berjalan, berjalan-jalan",JLPT JLPT_3 JLPT_5 JLPT_N5,C7E%FY>8|T
四,し,four,empat,JLPT JLPT_3 JLPT_5 JLPT_N5,q%G#*K^0R+
～時,～じ,~ o'clock (time),~ jam (waktu),JLPT JLPT_1 JLPT_5 JLPT_N5,m]7PVW-h[^
塩,しお,salt,garam,JLPT JLPT_5 JLPT_N5,mQXb>=tTk}
しかし,しかし,however; but,Namun;,Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5,g2(en9wt=#
時間,じかん,time,waktu,Genki Genki_Ln.14 JLPT JLPT_2 JLPT_5 JLPT_N5,rl<d#jP#zf
～時間,～じかん,~ hours,~ jam,JLPT JLPT_5 JLPT_N5,PfD-$$uDhD
仕事,しごと,"work, job, occupation, employment","pekerjaan, pekerjaan, pekerjaan, pekerjaan",Genki Genki_Ln.1 Genki_Ln.8 JLPT JLPT_5 JLPT_N5,BpR$XStq*~
辞書,じしょ,dictionary,kamus,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,Ls?+XP<x!7
静か,しずか,"quiet, calm","tenang, tenang",JLPT JLPT_5 JLPT_N5,P>BDZl[pK4
下,した,"under, below, beneath","di bawah, di bawah, di bawah",JLPT JLPT_3 JLPT_5 JLPT_N5,j8V7%&V*V9
七,しち,seven,tujuh,JLPT JLPT_3 JLPT_5 JLPT_N5,d9Ei.i(]l3
質問,しつもん,"question, inquiry","pertanyaan, penyelidikan",Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,hbG&tzjk([
自転車,じてんしゃ,bicycle,sepeda,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,cQ/jE!IBMW
自動車,じどうしゃ,automobile,mobil,JLPT JLPT_5 JLPT_N5,s>B81r@vvP
死ぬ,しぬ,to die,untuk mati,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5,DTv8zMSE:A
字引,じびき,dictionary,kamus,JLPT JLPT_5 JLPT_N5,"q(KV,tLbs@"
自分,じぶん,"myself, oneself","diriku sendiri, diriku sendiri",Genki Genki_Ln.17 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,PVgO:!yY%&
閉まる,しまる,"to close, to be closed","untuk menutup, untuk ditutup",JLPT JLPT_5 JLPT_N5,gcQz%z-FEM
閉める,しめる,"to close, to shut","untuk menutup, untuk menutup",JLPT JLPT_3 JLPT_5 JLPT_N5,gf.^6?5[K1
締める,しめる,"to tie, to fasten, to tighten","untuk mengikat, mengencangkan, mengencangkan",JLPT JLPT_3 JLPT_5 JLPT_N5,zslBUbe/:)
じゃ; じゃあ,じゃ; じゃあ,"well, well then","baiklah, kalau begitu",JLPT JLPT_3 JLPT_5 JLPT_N5,I*;H$6{i?j
写真,しゃしん,a picture; a photograph,sebuah gambar;,Genki Genki_Ln.4 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,uE&XA7mYm9
シャツ,シャツ,shirt,kemeja,Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5,ubVcrQ$8%@
シャワー,シャワー,shower,mandi,JLPT JLPT_5 JLPT_N5,op46S^HFU7
十,じゅう,ten,sepuluh,JLPT JLPT_3 JLPT_5 JLPT_N5,t#RE}A*?;i
～中,～じゅう,"during, while","selama, sementara",JLPT JLPT_2 JLPT_5 JLPT_N5,GjJjAMMc<N
～週間,～しゅうかん,~ weeks,~ minggu,JLPT JLPT_5 JLPT_N5,B5/n=cEC&j
授業,じゅぎょう,a class (of school),sebuah kelas (sekolah),Genki Genki_Ln.11 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_2 JLPT_5 JLPT_N5,In^9^.q{~0
宿題,しゅくだい,homework,pekerjaan rumah,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,PE;OT+iIoY
上手,じょうず,"be good at, skillful","pandai, terampil",JLPT JLPT_5 JLPT_N5,zE7uPe$TPk
丈夫,じょうぶ,"strong, solid, durable","kuat, padat, tahan lama",JLPT JLPT_5 JLPT_N5,"rzxPYrs,=L"
醤油,しょうゆ,soy sauce,kecap,Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5,Cx=6Q3yGAf
食堂,しょくどう,"cafeteria, dining hall","kantin, ruang makan",Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,q/e+PknS.X
知る,しる,"to know, to understand","untuk mengetahui, untuk memahami",Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,jmoS>4h`&Q
白,しろ,white,putih,JLPT JLPT_3 JLPT_5 JLPT_N5,?4vV_taj)
白い,しろい,white,putih,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,yL-#%FMe~@
～人,～じん,counter for people,counter untuk orang-orang,JLPT JLPT_5 JLPT_N5,cRB`piJTT=
新聞,しんぶん,newspaper,koran,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,u)<uacY_Qa
水曜日,すいようび,Wednesday,Rabu,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,kl%)(*`5]a
吸う,すう,"to breathe in, to suck","untuk bernapas, untuk menghisap",JLPT JLPT_3 JLPT_5 JLPT_N5,wwi3CXCv2|
スカート,スカート,skirt,rok,Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5,NE$eFg+K&Y
好き,すき,"liking, fondness, love","kesukaan, kesukaan, cinta",JLPT JLPT_5 JLPT_N5,B}kz{&9>=0
～すぎ,～すぎ,"past; to exceed, ~ too much",masa lalu;,JLPT JLPT_5 JLPT_N5,D/A*oT1;-^
少ない,すくない,a little; a few,sedikit;,Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5,O}E#|bt5>=
すぐに,すぐに,"immediately, soon","segera, segera",JLPT JLPT_5 JLPT_N5,c+_z#9>We^
少し,すこし,"little, few","sedikit, sedikit",Genki Genki_Ln.21 JLPT JLPT_5 JLPT_N5,LEWblI/l<)
涼しい,すずしい,"cool, refreshing (in reference to weather)","sejuk, menyegarkan (mengacu pada cuaca)",Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5,y%0&)B2:*;
～ずつ,～ずつ,at a time,pada suatu waktu,JLPT JLPT_5 JLPT_N5,e7*dq)(1^5
ストーブ,ストーブ,heater (lit: stove),pemanas (menyala: kompor),Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5,xw_f78(-:7
スプーン,スプーン,spoon,sendok,JLPT JLPT_5 JLPT_N5,FjQLk(n?P#
スポーツ,スポーツ,sport(s),olahraga,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,F^wO!?E%?^
ズボン,ズボン,trousers,celana panjang,JLPT JLPT_5 JLPT_N5,"FU-<z{1,6("
住む,すむ,"to reside, to live in","untuk tinggal, untuk tinggal di",JLPT JLPT_3 JLPT_5 JLPT_N5,ym>?}%jeF+
する,する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)","untuk melakukan, mencoba;",Genki Genki_Ln.17 JLPT JLPT_3 JLPT_5 JLPT_N5,"LT|A_z,G+T"
座る,すわる,to sit,untuk duduk,JLPT JLPT_5 JLPT_N5,dn)bcr6wXa
背,せい,"(one's) height, stature","tinggi (seseorang), tinggi badan",Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5,xQDy{9R)S2
生徒,せいと,student; pupil,murid;,Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_5 JLPT_N5,c2wTXo?)*o
セーター,セーター,sweater,sweter,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,NSeOhKH2D6
石鹸,せっけん,soap,sabun,JLPT JLPT_5 JLPT_N5,tY/1~r6Mz5
背広,せびろ,men's suit,jas pria,Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5,w`:i7/YHYU
狭い,せまい,narrow; not spacious,sempit;,Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.15 JLPT JLPT_5 JLPT_N5,yDZurM]5mn
ゼロ,ゼロ,zero,nol,JLPT JLPT_5 JLPT_N5,G~4~zg|xJJ
千,せん,thousand,ribu,JLPT JLPT_5 JLPT_N5,IvU;IZmo9!
先月,せんげつ,last month,bulan lalu,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,RcD!zS6[>I
先週,せんしゅう,last week,minggu lalu,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,EbyugR;^Rz
先生,せんせい,"teacher, professor; master; doctor","guru, profesor;",Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,A`19t`6J6t
洗濯,せんたく,"washing, laundry","mencuci, mencuci",Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_3 JLPT_5 JLPT_N5,vQ&mbAJqN7
全部,ぜんぶ,"all, entire, whole","semua, keseluruhan, keseluruhan",Genki Genki_Ln.13 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5,MgJu@!Fk&_
そう; そうです,そう; そうです,"yes; appears, to be the case",Ya;,JLPT JLPT_5 JLPT_N5,kkfDg[|_Yb
掃除,そうじ (する),"cleaning, sweeping","membersihkan, menyapu",JLPT JLPT_3 JLPT_5 JLPT_N5,LKKhbs9g8/
そうして; そして,そうして; そして,"and, like that","dan, seperti itu",JLPT JLPT_5 JLPT_N5,C/Lx0#`!+J
そこ,そこ,"that place, there; bottom, sole","tempat itu, di sana;",Genki Genki_Ln.4 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5,v56KFY.>v@
そちら,そちら,over there,di sana,JLPT JLPT_5 JLPT_N5,xbjis~A;+*
そっち,そっち,over there,di sana,JLPT JLPT_5 JLPT_N5,#PXdxM^5L
外,そと,"outside, exterior","luar, eksterior",Genki Genki_Ln.18 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,AFB3>g85F]
その,その,that,itu,JLPT JLPT_3 JLPT_5 JLPT_N5,C2OIF=[)E_
そば,そば,"near, close, beside; Japanese traditional buckwheat noodle","dekat, dekat, di samping;",Genki Genki_Ln.15 JLPT JLPT_3 JLPT_5 JLPT_N5,M)]t*`<F@c
空,そら,sky,langit,JLPT JLPT_5 JLPT_N5,D.6b;1{88^
それ,それ,that one,yang itu,Genki Genki_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5,t%n)3@@XX+
それから,それから,"and then, after that","dan kemudian, setelah itu",Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,sV(hn]KLzr
それでは,それでは,"in that situation, well then...","dalam situasi itu, kalau begitu...",JLPT JLPT_5 JLPT_N5,"v[]T|jw&,["
～台,～だい,counter for vehicles; machines,loket untuk kendaraan;,JLPT JLPT_5 JLPT_N5,ztM0ejgNN~
大学,だいがく,college; university,kampus;,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,kHyc<WfmUQ
大使館,たいしかん,embassy,kedutaan,JLPT JLPT_5 JLPT_N5,"n?Lz{tQ,#T"
大丈夫,だいじょうぶ,It's ok (all right); No need to worry; Everything is under control,Tidak apa-apa (baiklah);,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5,nEIlSJfx#r
大好き,だいすき,"very like-able, like very much","sangat disukai, sangat disukai",JLPT JLPT_5 JLPT_N5,"AZ,CM~A,0E"
大切,たいせつ,important,penting,JLPT JLPT_5 JLPT_N5,tu70?MYeL5
台所,だいどころ,kitchen,dapur,JLPT JLPT_5 JLPT_N5,bbB25MOf:$
大変,たいへん,"very; difficult, hard",sangat;,JLPT JLPT_3 JLPT_5 JLPT_N5,NIbD<|-[1y
高い,たかい,"tall, high; expensive","tinggi, tinggi;",Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,veG&GbRNS(
～だけ,～だけ,"only ~, just ~, as ~","hanya ~, hanya ~, sebagai ~",JLPT JLPT_1 JLPT_5 JLPT_N5,Lcbr*3r3b5
沢山,たくさん,"many, much","banyak, banyak",JLPT JLPT_5 JLPT_N5,v7m[:9zL*Y
タクシー,タクシー,taxi,taksi,JLPT JLPT_5 JLPT_N5,k8!n/<-@<9
出す,だす,to take (something) out; to hand in (something),untuk mengambil (sesuatu) keluar;,Genki Genki_Ln.16 JLPT JLPT_5 JLPT_N5,bt0(EU(<V_
～たち,～たち,plural suffix,akhiran jamak,JLPT JLPT_5 JLPT_N5,Opbd!87m@p
立つ,たつ,to stand up,untuk berdiri,Genki Genki_Ln.6 JLPT JLPT_3 JLPT_5 JLPT_N5,z+IsiLqO4K
たて,たて,"length, height","panjang, tinggi",JLPT JLPT_3 JLPT_5 JLPT_N5,L8wVt#MfRS
建物,たてもの,building,bangunan,Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_5 JLPT_N5,mty2M&KETp
楽しい,たのしい,"enjoyable, fun","menyenangkan, menyenangkan",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,eD~FeZpJXC
頼む,たのむ,"to request, to ask (a favor)","meminta, meminta (bantuan)",Genki Genki_Ln.18 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5,zjk+2%xAp%
たばこ,たばこ,"tobacco, cigarettes","tembakau, rokok",JLPT JLPT_5 JLPT_N5,y<?W4xcfCN
多分,たぶん,"perhaps, probably, maybe","mungkin, mungkin, mungkin",Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5,pNDK+)ARo
食べ物,たべもの,food,makanan,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,ODKLC3jdI>
食べる,たべる,to eat,untuk makan,JLPT JLPT_5 JLPT_N5,c.+pIV(7xY
卵,たまご,egg,telur,Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5,c|(S)f_).K
誰,だれ,who,WHO,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,gDqm6J+#/O
誰か,だれか,someone,seseorang,JLPT JLPT_3 JLPT_5 JLPT_N5,K{JPl*mB/&
誕生日,たんじょうび,birthday,hari ulang tahun,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,HV8#h@HniT
段々,だんだん,"gradually, by degrees","secara bertahap, sedikit demi sedikit",JLPT JLPT_5 JLPT_N5,O8dRR}CL>
小さい,ちいさい,"small, little","kecil, sedikit",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,LNu9:vy!G1
