expression,reading,meaning,meaning_indonesia,tags,guid
一概に,いちがいに,"unconditionally, necessarily","tanpa syarat, tentu saja",JLPT_1 JLPT,hLV>poM3Dq
著しい,いちじるしい,"remarkable, considerable","luar biasa, cukup besar",JLPT_1 JLPT,"kPPz=m,gRR"
一同,いちどう,"all present, all concerned, all of us","semua yang hadir, semua yang berkepentingan, kita semua",JLPT_1 JLPT,O|v*CB_J$V
一部分,いちぶぶん,"a part, a portion","sebagian, sebagian",JLPT_1 JLPT,kC:AyoQ(VZ
一別,いちべつ,parting,perpisahan,JLPT_1 JLPT,P}9Ns5lV8E
一面,いちめん,"one side, the other hand","satu sisi, sisi lain",JLPT_1 JLPT,Nx0OsZUH*E
一目,いちもく,"a glance, a look, a glimpse","sekilas, sekilas, sekilas",JLPT_1 JLPT,saAg*cc00y
一様,いちよう,"uniform, similar, equal","seragam, serupa, setara",JLPT_1 JLPT,4Npj$}s^v
一律,いちりつ,"even, uniform, equal","genap, seragam, setara",JLPT_1 JLPT,s7Bp#3`c^s
一連,いちれん,"a series, a chain, a ream (of paper)","seri, rantai, rim (kertas)",JLPT_1 JLPT,"K`?fU[;],#"
一括,いっかつ,"all together, batch","semuanya, kumpulan",JLPT_1 JLPT,hhovzuJKNB
一気,いっき,"at one push, in one gulp","dalam satu dorongan, dalam satu tegukan",JLPT_1 JLPT,CgBD$%2<51
一挙に,いっきょに,"at a stroke, with a single swoop","dalam satu pukulan, dengan satu gerakan",JLPT_1 JLPT,F:IKX%#S}~
一見,いっけん,"a look, a glimpse, glance; first meeting","sekilas, sekilas, sekilas;",JLPT_1 JLPT,NZ6>sHobC*
一切,いっさい,"without exception, the whole","tanpa kecuali, keseluruhan",JLPT_1 JLPT,v}WLTgJ@1I
一心,いっしん,"one mind, with rapt attention","satu pikiran, dengan perhatian penuh",JLPT_1 JLPT,cClq^_-/LZ
いっそ,いっそ,"rather, sooner, might as well","sebaliknya, lebih cepat, mungkin juga",JLPT_1 JLPT,Ii]&B%6J^H
一変,いっぺん,complete change,perubahan total,JLPT_1 JLPT,ek#.`h}8]>
意図,いと,"intention, aim, design","niat, tujuan, desain",JLPT_1 JLPT,"Nv%*-6B!(,"
営む,いとなむ,"to carry on (e.g., in ceremony), to run a business","untuk melanjutkan (misalnya, dalam upacara), untuk menjalankan bisnis",JLPT_1 JLPT,DwKEu03*|H
挑む,いどむ,to challenge,untuk menantang,JLPT_1 JLPT,c_-t#iEGZZ
稲光,いなびかり,(flash of) lightning,(kilat) petir,JLPT_1 JLPT,c#^JVd1}UB
祈り,いのり,"prayer, supplication","doa, permohonan",JLPT_1 JLPT,Ma]tANx6d6
いびき,いびき,snoring,keruh,JLPT_1 JLPT,C/{&bugX+}
今更,いまさら,"now, again","sekarang, lagi",JLPT_1 JLPT,hj*29Ug#1R
未だ,いまだ,"yet, still","namun, tetap saja",JLPT_1 JLPT,p:dli@Jl!z
移民,いみん,"emigrant, immigrant","emigran, imigran",JLPT_1 JLPT,CLJ[Ns`Z6Z
嫌々,いやいや,"reluctantly, by no means, unwillingly","dengan enggan, sama sekali tidak dengan enggan",JLPT_1 JLPT,QjHKtey?XJ
卑しい,いやしい,"greedy, vulgar, shabby","serakah, vulgar, lusuh",JLPT_1 JLPT,vBh9gD/$!+
いやに,いやに,"awfully, terribly","sangat, sangat",JLPT_1 JLPT,qpdLL_V*P#
いやらしい,いやらしい,"unpleasant, disgusting, indecent","tidak menyenangkan, menjijikkan, tidak senonoh",JLPT_1 JLPT,D<T6@Y-YD4
意欲,いよく,"will, desire, ambition","kemauan, keinginan, ambisi",JLPT_1 JLPT,Fq(`u%{Obm
威力,いりょく,"power, might, authority","kekuasaan, keperkasaan, otoritas",JLPT_1 JLPT,r5er8dT<)9
衣類,いるい,"clothes, clothing, garments","pakaian, pakaian, pakaian",JLPT_1 JLPT,QbNSCWqQ4!
異論,いろん,"different opinion, objection","berbeda pendapat, keberatan",JLPT_1 JLPT,A?E^7mu[K@
印鑑,いんかん,"stamp, seal","stempel, segel",JLPT_1 JLPT,cTR~#z|<0M
陰気,いんき,"gloom, melancholy","suram, melankolis",JLPT_1 JLPT,A-+&-Fy%1r
隠居,いんきょ,retirement; retired person,masa pensiun;,JLPT_1 JLPT,b^vje[Ox#X
インターチェンジ,インターチェンジ,interchange,pertukaran,JLPT_1 JLPT,"rBKXdv$/G,"
インターナショナル,インターナショナル,international,internasional,JLPT_1 JLPT,JmV&U~p0X$
インターフォン,インターフォン,"entry phone, intercom","telepon masuk, interkom",JLPT_1 JLPT,AO3rDw-;8U
インテリ,インテリ,"(abbr.) egghead, intelligentsia","(abbr.) orang bodoh, intelektual",JLPT_1 JLPT,piGc%@]7]l
インフォメーション,インフォメーション,information,informasi,JLPT_1 JLPT,KO4Fli5w!*
インフレ,インフレ,(abbr.) inflation,(singkatan) inflasi,JLPT_1 JLPT,QC}1+m@@J*
受かる,うかる,to pass (examination),lulus (pemeriksaan),JLPT_1 JLPT,gIq*pkmfp{
受け入れ,うけいれ,"receiving, acceptance","menerima, penerimaan",JLPT_1 JLPT,j&5piEC:H:
受け入れる,うけいれる,"to accept, to receive","menerima, menerima",JLPT_1 JLPT,i_JCrJB_9E
受け継ぐ,うけつぐ,"to inherit, to succeed","untuk mewarisi, untuk sukses",JLPT_1 JLPT,x6H#Y*OpNS
受け付ける,うけつける,"to be accepted, to receive (an application)","untuk diterima, untuk menerima (permohonan)",JLPT_1 JLPT,wJiQ/5Nn/x
受け止める,うけとめる,"to catch, to react to, to take","menangkap, bereaksi, mengambil",JLPT_1 JLPT,kQB/rB@6#x
受身,うけみ,"passive, passive voice","pasif, suara pasif",JLPT_1 JLPT,AB05ev+c>K
受持ち,うけもち,"charge (of something), matter in one's charge","muatan (sesuatu), masalah dalam tanggung jawab seseorang",JLPT_1 JLPT,"DiB3?u$z,A"
動き,うごき,"movement, activity, trend","pergerakan, aktivitas, tren",JLPT_1 JLPT,u]mcX[(LyK
埋める,うずめる,"to bury, to fill","untuk mengubur, untuk mengisi",JLPT_1 JLPT,s1}PR|XGjV
嘘つき,うそつき,liar,pembohong,JLPT_1 JLPT,huy&f$4B!!
うたた寝,うたたね,"dozing, napping","tertidur, tidur siang",JLPT_1 JLPT,g>}T9.Ly4K
打ち明ける,うちあける,"to confess, to be open","untuk mengaku, untuk bersikap terbuka",JLPT_1 JLPT,m>OKlxKk@!
打ち切る,うちきる,"to stop, to abort, to discontinue, to close","untuk berhenti, untuk membatalkan, untuk menghentikan, untuk menutup",JLPT_1 JLPT,NY3MFaZc*o
打ち消し,うちけし,"(gram) negation, denial, negative","(gram) negasi, penolakan, negatif",JLPT_1 JLPT,FFlOc.L!8+
打ち込む,うちこむ,"to devote oneself to, to shoot into","untuk mengabdikan diri, untuk menembak",JLPT_1 JLPT,"iV,JA!*tZ)"
団扇,うちわ,fan,penggemar,JLPT_1 JLPT,AXix@CPuvn
内訳,うちわけ,"the items, breakdown, classification","item, rincian, klasifikasi",JLPT_1 JLPT,"kc.tS5mj},"
写し,うつし,"copy, duplicate","salin, duplikat",JLPT_1 JLPT,o]mr>S?=4H
訴え,うったえ,"lawsuit, complaint","gugatan, pengaduan",JLPT_1 JLPT,L0%2@MBXxQ
うっとうしい,うっとうしい,"weary, annoying","lelah, menjengkelkan",JLPT_1 JLPT,D_nkEIxjCi
うつむく,うつむく,"to look downward, to stoop","untuk melihat ke bawah, untuk membungkuk",JLPT_1 JLPT,vZ9f:pDf9{
空ろ,うつろ,"blank, hollow, empty","kosong, kosong, kosong",JLPT_1 JLPT,gT)UMo=-nJ
器,うつわ,"bowl, vessel, container","mangkuk, bejana, wadah",JLPT_1 JLPT,wCFSLHrDCy
腕前,うでまえ,"ability, skill, facility","kemampuan, keterampilan, fasilitas",JLPT_1 JLPT,M#fh/cwlNl
雨天,うてん,rainy weather,cuaca hujan,JLPT_1 JLPT,w*!:re!1<+
促す,うながす,"to urge, to suggest, to demand","untuk mendesak, menyarankan, menuntut",JLPT_1 JLPT,wV^GWyWg_j
うぬぼれ,うぬぼれ,"pretension, conceit, hubris","pretensi, kesombongan, keangkuhan",JLPT_1 JLPT,m]YR4b{=@z
生まれつき,うまれつき,"by nature, by birth, native","secara alami, sejak lahir, asli",JLPT_1 JLPT,vf1rqkwzEV
埋め込む,うめこむ,"to embed, implant","untuk menanamkan, menanamkan",JLPT_1 JLPT,xua#+HlIBN
梅干し,うめぼし,dried plum,prem kering,JLPT_1 JLPT,y[D$6jL9AV
裏返し,うらがえし,"inside out, reverse","dalam ke luar, terbalik",JLPT_1 JLPT,x!`i3g6fj/
売り出し,うりだし,(bargain) sale,(tawar-menawar) penjualan,JLPT_1 JLPT,e#9|l1/ymz
売り出す,うりだす,"to put on sale, to market","untuk dijual, ke pasar",JLPT_1 JLPT,gIddcx*`Ct
潤う,うるおう,to be moist; to profit by,menjadi lembab;,JLPT_1 JLPT,iEM[52wf::
浮気,うわき,"affair, to cheat","perselingkuhan, untuk menipu",JLPT_1 JLPT,niMRrvhuXD
上回る,うわまわる,to exceed,melebihi,JLPT_1 JLPT,xvIWa_An&S
植わる,うわる,to be planted,untuk ditanam,JLPT_1 JLPT,q/mwW_I)&k
運営,うんえい,"management, administration, operation","manajemen, administrasi, operasi",JLPT_1 JLPT,m*%9#Uxp/F
うんざり,うんざり,"tedious, boring, being fed up with","membosankan, membosankan, muak dengan",JLPT_1 JLPT,G<U}3bYTX=
運送,うんそう,"shipping, freight","pengiriman, pengangkutan",JLPT_1 JLPT,DH/^v}5V5H
運賃,うんちん,"freight rates, shipping expenses, (passenger) fare","tarif angkutan, biaya pengiriman, tarif (penumpang).",JLPT_1 JLPT Intermediate_Japanese_Ln.10 Intermediate_Japanese,"OS<,k|.D(5"
云々,うんぬん,"and so on, and so forth","dan seterusnya, dan seterusnya",JLPT_1 JLPT,LiOOViPg]s
運搬,うんぱん,"transport, carriage","transportasi, pengangkutan",JLPT_1 JLPT,KHqZvxZ@6.
運命,うんめい,fate,takdir,JLPT_1 JLPT,l3_#00|#9V
運輸,うんゆ,transportation,angkutan,JLPT_1 JLPT,"M~H0atu}?,"
運用,うんよう,"making use of, application, practical use","pemanfaatan, penerapan, penggunaan praktis",JLPT_1 JLPT,P{!{:>o!_q
エアメール,エアメール,air mail,surat udara,JLPT_1 JLPT,q`%AC;;9Ta
～営,～えい,~ run,~ lari,JLPT_1 JLPT,dP^UCy0C~l
英字,えいじ,English letter (character),Huruf bahasa Inggris (karakter),JLPT_1 JLPT,"J1lN,M8$1h"
映写,えいしゃ,projection,proyeksi,JLPT_1 JLPT,x`Mnz)m&qb
映像,えいぞう,"reflection, image","refleksi, gambar",JLPT_1 JLPT,m?:Se-SQN4
英雄,えいゆう,"hero, great man","pahlawan, pria hebat",JLPT_1 JLPT,lpc:AiI>>Z
液,えき,"liquid, fluid","cair, cair",JLPT_1 JLPT,r(jP%;ZEI5
閲覧,えつらん,"inspection, reference, browse","inspeksi, referensi, jelajahi",JLPT_1 JLPT,hDsmHpZ7Os
獲物,えもの,"game, spoils, trophy","permainan, rampasan, piala",JLPT_1 JLPT,5*sGNpi>A
襟,えり,"neck, collar","leher, kerah",JLPT_1 JLPT,tRB]@ee=lY
エレガント,エレガント,elegant,anggun,JLPT_1 JLPT,efgo>`$5}C
円滑,えんかつ,"harmony, smoothness","harmoni, kehalusan",JLPT_1 JLPT,Kb_Dvgh:lA
縁側,えんがわ,"veranda, porch, balcony, open corridor","beranda, beranda, balkon, koridor terbuka",JLPT_1 JLPT,wyHg^[mZl2
沿岸,えんがん,"coast, shore","pantai, pantai",JLPT_1 JLPT,AovU9kG]Un
婉曲,えんきょく,"euphemistic, indirect, insinuating","eufemistik, tidak langsung, menyindir",JLPT_1 JLPT,G;:<3(vTfF
演出,えんしゅつ,"production (erg. play, direction)","produksi (misalnya permainan, pengarahan)",JLPT_1 JLPT,"wf^,)@RdCb"
エンジニア,エンジニア,engineer,insinyur,JLPT_1 JLPT,B{mLrpXMY9
演じる,えんじる,"to perform, to play (a part), to act","untuk melakukan, memainkan (bagian), bertindak",JLPT_1 JLPT,"w/:3TeD,r|"
演ずる,えんずる,"to perform, to play (a part), to act","untuk melakukan, memainkan (bagian), bertindak",JLPT_1 JLPT,D7;+x/XKhh
沿線,えんせん,along railway line,sepanjang jalur kereta api,JLPT_1 JLPT,ALo8teWhD7
縁談,えんだん,marriage proposal,lamaran pernikahan,JLPT_1 JLPT,noJgGKIj8x
遠方,えんぽう,"long way, distant place","jauh sekali, tempat yang jauh",JLPT_1 JLPT,OzC<9.M=Ar
円満,えんまん,"harmony, peace, smoothness","harmoni, kedamaian, kelancaran",JLPT_1 JLPT,Ct:pLi;{3A
追い込む,おいこむ,"to herd, to corner, to drive","untuk menggembalakan, untuk menyudutkan, untuk mengemudi",JLPT_1 JLPT,AR1qUDM@P)
追い出す,おいだす,"to expel, to drive out","untuk mengusir, mengusir",JLPT_1 JLPT,"riRN3`p,`k"
於いて,おいて,"at, in, on","di, di, di",JLPT_1 JLPT,ijyE>WQ}KT
老いる,おいる,"to age, to grow old","menjadi tua, menjadi tua",JLPT_1 JLPT,Fq*tJ8V7V$
応急,おうきゅう,emergency,keadaan darurat,JLPT_1 JLPT,P7w*v4FZJr
黄金,おうごん,gold,emas,JLPT_1 JLPT,mYt_k*xkZ.
往診,おうしん,"doctor's visit, house call","kunjungan dokter, panggilan rumah",JLPT_1 JLPT,KYeqnnZ=-9
応募,おうぼ,"subscription, application","berlangganan, aplikasi",JLPT_1 JLPT,b[VDDlfAs0
おおい (かん),おおい (かん),hey,Hai,JLPT_1 JLPT,"oI,HaDOI/S"
大方,おおかた,"almost all, majority","hampir semuanya, mayoritas",JLPT_1 JLPT,xJaUka+CN:
大柄,おおがら,"large build, large pattern","bentuk besar, pola besar",JLPT_1 JLPT,"GWS,d=cM(:"
おおげさ,おおげさ,"grandiose, exaggerated","muluk-muluk, berlebihan",JLPT_1 JLPT,oddUsiCw^V
大筋,おおすじ,"outline, summary","garis besar, ringkasan",JLPT_1 JLPT,Hs`P|H+T!]
大空,おおぞら,"heaven, the sky","surga, langit",JLPT_1 JLPT,x&4e(F[|Hd
オートマチック,オートマチック,automatic,otomatis,JLPT_1 JLPT,Ma<]_+LJWL
大幅,おおはば,"full width, large scale, drastic","lebar penuh, skala besar, drastis",JLPT JLPT_1 MediaMissing,c`*FbFL7!*
おおまかな,おおまかな,"rough, approximate","kasar, perkiraan",JLPT_1 JLPT,h|xK)[LK#`
大水,おおみず,flood,banjir,JLPT_1 JLPT,lHnH3YrPE%
公,おおやけ,public,publik,JLPT_1 JLPT,oI.<`;>b`b
犯す,おかす,"to perpetrate, to violate","melakukan, melanggar",JLPT_1 JLPT,r}qWP|]B{j
侵す,おかす,"to invade, to raid, to trespass","untuk menyerang, untuk menyerang, untuk masuk tanpa izin",JLPT_1 JLPT,JP!&.Z9_)1
臆病,おくびょう,"cowardice, timidity","pengecut, takut-takut",JLPT_1 JLPT,DR9F4{>w8i
遅らす,おくらす,"to retard, to delay","untuk memperlambat, untuk menunda",JLPT_1 JLPT,BxX=0Td:Ra
厳か,おごそか,"majestic, dignified","agung, bermartabat",JLPT_1 JLPT,k^}q{Z*:ZU
行い,おこない,"conduct, behavior, action","tingkah laku, tingkah laku, tindakan",JLPT_1 JLPT,EPt}Y|moZw
おごる (ゆうしょくを～),おごる (ゆうしょくを～),to give (someone) a treat,untuk memberi (seseorang) hadiah,JLPT_1 JLPT,nplO^(LG?d
収まる,おさまる,to settle into; to be obtained,untuk menetap;,JLPT_1 JLPT,blHU8/+m@I
納まる,おさまる,to settle into; to be obtained,untuk menetap;,JLPT_1 JLPT,cv8FX+R{$0
治まる,おさまる,"to be at peace, to calm down","untuk menjadi damai, untuk menenangkan diri",JLPT_1 JLPT,vn/~]L;$eG
お産,おさん,(giving) birth,(melahirkan).,JLPT_1 JLPT,euz]Ka!XAe
押し切る,おしきる,to have one's own way,untuk memiliki caranya sendiri,JLPT_1 JLPT,djU<$hJj6~
押し込む,おしこむ,"to push into, to crowd into","untuk mendorong ke dalam, untuk berkerumun ke dalam",JLPT_1 JLPT,xrb|Hb|isj
惜しむ,おしむ,"to be frugal, to value, to regret","untuk berhemat, untuk menghargai, untuk menyesal",JLPT_1 JLPT,eSj?}z3f2/
押し寄せる,おしよせる,"to push aside, to advance on","untuk menyingkirkan, untuk maju",JLPT_1 JLPT,G6S^.J|&^/
雄,おす,male (animal),jantan (hewan),JLPT_1 JLPT,gZ*7YqB0w(
御世辞,おせじ,"flattery, compliment","sanjungan, pujian",JLPT_1 JLPT,d$tF`<~=wO
襲う,おそう,to attack,untuk menyerang,JLPT_1 JLPT,d*HJIF;zrC
遅くとも,おそくとも,at the latest,paling lambat,JLPT_1 JLPT,"p,08OPe)d%"
恐れ,おそれ,"fear, horror","ketakutan, kengerian",JLPT_1 JLPT,mG1{:BxE;
恐れ入る,おそれいる,"to be filled with awe, to feel small","dipenuhi rasa kagum, merasa kecil",JLPT_1 JLPT,o7$@i&/e=j
おだてる,おだてる,to flatter,untuk menyanjung,JLPT_1 JLPT,"c}qANB`J7,"
落ち込む,おちこむ,to get depressed,untuk mengalami depresi,JLPT_1 Genki_Ln.16 JLPT Genki,B0Aq~FM[^o
落ち着き,おちつき,"calm, composure","tenang, ketenangan",JLPT_1 JLPT,"k)L1,/cgqd"
落葉,おちば,fallen leaves,daun-daun berguguran,JLPT_1 JLPT,qPS6$v<zNn
乙,おつ,2nd in rank,peringkat ke-2,JLPT_1 JLPT,"CTIZFIH,kM"
お使い,おつかい,errand,tugas,JLPT_1 JLPT,"Q3Uu~eV;,,"
おっかない,おっかない,"frightening, scary","menakutkan, menakutkan",JLPT_1 JLPT,r<$W[mdg(3
お手上げ,おてあげ,"given in, given up hope","menyerah, putus asa",JLPT_1 JLPT,J({SY<_/!4
おどおど,おどおど,"coweringly, hesitantly","dengan gemetar, ragu-ragu",JLPT_1 JLPT,hFdj&!1iUO
脅す,おどす,"to threaten, to menace","untuk mengancam, untuk mengancam",JLPT_1 JLPT,l9J?^6gNw8
訪れる,おとずれる,to visit,untuk dikunjungi,JLPT_1 JLPT,M;`!*}::|V
お供,おとも,"attendant, companion","petugas, pendamping",JLPT_1 JLPT,x[kh8D~cRx
衰える,おとろえる,"to become weak, to decline","menjadi lemah, menurun",JLPT_1 JLPT,pxXWt`7[Xh
同い年,おないどし,of the same age,pada usia yang sama,JLPT_1 JLPT,uOL4]ka~4C
自ずから,おのずから,"naturally, as a matter of course","tentu saja, sebagai hal yang biasa",JLPT_1 JLPT,CsPmT^E4si
怯える,おびえる,to become frightened,menjadi ketakutan,JLPT_1 JLPT,Bil>aIK.P>
おびただしい,おびただしい,"abundantly, innumerably","berlimpah, tak terhitung jumlahnya",JLPT_1 JLPT,F0E@v8v<tK
脅かす,おびやかす,"to threaten, to coerce","untuk mengancam, untuk memaksa",JLPT_1 JLPT,y}AqB/U_jH
帯びる,おびる,"to bear, to carry, to be entrusted","memikul, memikul, mempercayakan",JLPT_1 JLPT,zXZ(?*QD)1
お袋,おふくろ,mother,ibu,JLPT_1 JLPT,Iky=(#jNrr
覚え,おぼえ,"memory, sense, experience","ingatan, perasaan, pengalaman",JLPT_1 JLPT,z/W-oJ8vaW
おまけ,おまけ,a discount; something additional,diskon;,JLPT_1 JLPT,rsBcP;b`Jp
お宮,おみや,Shinto shrine,kuil Shinto,JLPT_1 JLPT,COvUCQv?BW
おむつ,おむつ,"diaper, nappy","popok, popok",JLPT_1 JLPT,FRkuxmL~/i
思い付き,おもいつき,"plan, idea, suggestion","rencana, ide, saran",JLPT_1 JLPT,gk=p@=>B|;
趣,おもむき,"flavor, appearance, quaint","rasa, penampilan, aneh",JLPT_1 JLPT,o+otz^p(oN
赴く,おもむく,"to go, to proceed","untuk pergi, untuk melanjutkan",JLPT_1 JLPT,E5WffQ+ViL
重んじる,おもんじる,"to respect, to honor, to esteem, to prize","untuk menghormati, untuk menghormati, untuk menghargai, untuk menghargai",JLPT_1 JLPT,"gj_$ok,;mR"
重んずる,おもんずる,"to honor, to respect, to value","untuk menghormati, untuk menghormati, untuk menghargai",JLPT_1 JLPT,c;eXv;e7cc
親父,おやじ,"one's father, old man, one's boss","ayah seseorang, orang tua, atasannya",JLPT_1 JLPT,g;f)J>kju#
及び,および,"and, as well as","dan, serta",JLPT_1 JLPT,"F5z-<*3Tg,"
及ぶ,およぶ,"to reach, to extend","untuk mencapai, untuk memperluas",JLPT_1 JLPT,Lj7$<D<:Dd
折,おり,"chance, occasion","kesempatan, kesempatan",JLPT_1 JLPT,y[AaTw+T{(
檻,おり,"cage, pen, jail cell","kandang, pena, sel penjara",JLPT_1 JLPT,Lj@q6`R`I<
オリエンテーション,オリエンテーション,orientation,orientasi,JLPT_1 JLPT,i;fk@T:&ys
折り返す,おりかえす,"to turn up, to fold back","untuk muncul, untuk melipat kembali",JLPT_1 JLPT,x-(77`TIyH
織物,おりもの,"textile, fabric","tekstil, kain",JLPT_1 JLPT,@6F9JKGsN
俺,おれ,I (ego) (boastful first-person pronoun),I (ego) (kata ganti orang pertama yang sombong),JLPT_1 JLPT,M3v%b}<>}t
愚か,おろか,"foolish, stupid","bodoh, bodoh",JLPT_1 JLPT,Ch>U~}L@[9
おろそか,おろそか,"neglect, negligence, carelessness","kelalaian, kelalaian, kecerobohan",JLPT_1 JLPT,H$%#VMqb~n
おんぶ,おんぶ,carrying on one's back (erg. Baby),menggendong di punggung (misalnya Baby),JLPT_1 JLPT,w[CU60-p%`
オンライン,オンライン,on-line,on line,JLPT_1 JLPT,i=qSrR2s#(
温和,おんわ,"gentle, mild, moderate","lembut, ringan, sedang",JLPT_1 JLPT,II+hgA8I:B
我,が～,ego,ego,JLPT_1 JLPT,KEYq:ht}?d
カーペット,カーペット,carpet,karpet,JLPT_1 JLPT,fn]9l!yDf>
～界,～かい,"world, circle, kingdom","dunia, lingkaran, kerajaan",JLPT_1 JLPT,d]il$5=Qs$
～街,～がい,town,kota,JLPT_1 JLPT,PH:pbBSE|j
改悪,かいあく,"deterioration, changing for the worse","memburuk, berubah menjadi lebih buruk",JLPT_1 JLPT,/C5*Xn=Cv
海運,かいうん,marine transportation,transportasi laut,JLPT_1 JLPT,"CDcOa:,]6U"
外貨,がいか,foreign money,uang asing,JLPT_1 JLPT,P{MzU_0f=F
改革,かいかく,"reform, reformation, innovation","reformasi, reformasi, inovasi",JLPT_1 JLPT,"nxg,|fRPK9"
貝殻,かいがら,shell,kerang,JLPT_1 JLPT,rr4Z^$`(_`
外観,がいかん,"appearance, exterior, facade","penampilan, eksterior, fasad",JLPT_1 JLPT,JF[`}jk]g#
階級,かいきゅう,"class, rank, grade","kelas, pangkat, kelas",JLPT_1 JLPT,G#*h9O@`+|
海峡,かいきょう,channel,saluran,JLPT_1 JLPT,jy18h1NAzv
会見,かいけん,"interview, conference","wawancara, konferensi",JLPT_1 JLPT,umW!}@pgti
介護,かいご,nursing,perawatan,JLPT_1 JLPT,kEe>~$Z:bi
開催,かいさい,"holding a meeting, open an exhibition","mengadakan pertemuan, membuka pameran",JLPT_1 JLPT,%(;Yq~m~L
回収,かいしゅう,"collection, recovery","pengumpulan, pemulihan",JLPT_1 JLPT,j[pPaa[c]=
改修,かいしゅう,"repair, improvement","perbaikan, peningkatan",JLPT_1 JLPT,QiUw+PPipY
怪獣,かいじゅう,monster,raksasa,JLPT_1 JLPT,r8Gl`sM7J8
解除,かいじょ,"cancellation, release, cancel","pembatalan, pelepasan, pembatalan",JLPT_1 JLPT,Mgd/-R9vWQ
外相,がいしょう,Foreign Minister,Menteri Luar Negeri,JLPT_1 JLPT,yrLi>.nXho
害する,がいする,"to harm, to offend","untuk menyakiti, menyinggung",JLPT_1 JLPT,Hi`w1ksG:H
概説,がいせつ,"general statement, outline","pernyataan umum, garis besar",JLPT_1 JLPT,nT]AQT3`Q*
回送,かいそう,forwarding,penerusan,JLPT_1 JLPT,L?pD4!Fpg8
階層,かいそう,"class, level, stratum, hierarchy","kelas, tingkat, strata, hierarki",JLPT_1 JLPT,H^MD?o[__x
開拓,かいたく,"cultivation, pioneer","budidaya, pionir",JLPT_1 JLPT,FypVZrRtNH
会談,かいだん,"conversation, interview","percakapan, wawancara",JLPT_1 JLPT,uN=.m/8Z~3
改定,かいてい,reform,pembaruan,JLPT_1 JLPT,g6THSZ_v^<
改訂,かいてい,revision,revisi,JLPT_1 JLPT,v0XHWw$0B0
ガイド,ガイド,guide,memandu,JLPT_1 JLPT,CvJbP*(I@%
街道,かいどう,highway,jalan raya,JLPT_1 JLPT,N$n&)AJVWA
該当,がいとう,"corresponding, answering to, coming under","sesuai, menjawab, berada di bawah",JLPT_1 JLPT,nkZ}`ld7f?
街頭,がいとう,in the street,di jalan,JLPT_1 JLPT,tQu}Nu#P].
ガイドブック,ガイドブック,guidebook,buku panduan,JLPT_1 JLPT,Eo9u]7eh((
介入,かいにゅう,intervention,intervensi,JLPT_1 JLPT,pZJnTW/Kh#
概念,がいねん,"general idea, concept, notion","gagasan umum, konsep, gagasan",JLPT_1 JLPT,E|SNJ<R/iJ
開発,かいはつ,"development, exploitation","pengembangan, eksploitasi",JLPT_1 JLPT,Kw[.UTN4^R
海抜,かいばつ,height above sea level,ketinggian di atas permukaan laut,JLPT_1 JLPT,jLVxr@vo2y
介抱,かいほう,"nursing, looking after","keperawatan, menjaga",JLPT_1 JLPT,j$OYFEbGs|
解剖,かいぼう,"dissection, autopsy","pembedahan, otopsi",JLPT_1 JLPT,iL)PO8n0NO
外来,がいらい,"(abbr.) imported, outpatient clinic","(abbr.) impor, klinik rawat jalan",JLPT_1 JLPT,~V$m/9|o}
回覧,かいらん,circulation,sirkulasi,JLPT_1 JLPT,E}}4:_!82P
概略,がいりゃく,"outline, summary, gist","garis besar, ringkasan, inti",JLPT_1 JLPT,N)qY<nUP|*
海流,かいりゅう,ocean current,arus laut,JLPT_1 JLPT,xa/eyqaPDe
改良,かいりょう,"improvement, reform","perbaikan, reformasi",JLPT_1 JLPT,"v?jE,5xyr`"
回路,かいろ,circuit (electric),sirkuit (listrik),JLPT_1 JLPT,fdIy<8[a*F
海路,かいろ,sea route,jalur laut,JLPT_1 JLPT,t536M9u42&
省みる,かえりみる,to reflect,untuk mencerminkan,JLPT_1 JLPT,taa>Gm>Nxx
顧みる,かえりみる,"to look back, to turn around, to review","untuk melihat ke belakang, untuk berbalik, untuk meninjau",JLPT_1 JLPT,ho_c78W;*R
顔付き,かおつき,facial expression,raut wajah,JLPT_1 JLPT,k<|EsPF(U~
課外,かがい,extracurricular,ekstrakurikuler,JLPT_1 JLPT,ImdEjfLr)>
掲げる,かかげる,"to hoist, to fly (a sail), to float (a flag)","mengibarkan, menerbangkan (layar), mengapung (bendera)",JLPT_1 JLPT,Q[6r`gY-ir
かかと,かかと,shoe heel,tumit sepatu,JLPT_1 JLPT,F`djJ$owDP
書き取る,かきとる,"to write down, to take dictation","untuk menulis, untuk mengambil dikte",JLPT_1 JLPT,OeW)s:B>?h
掻き回す,かきまわす,"to stir up, to churn, to disturb","untuk mengaduk, mengaduk, mengganggu",JLPT_1 JLPT,"wp9#,9/+Z4"
かく (はじを),かく (はじを),to humiliate oneself,untuk mempermalukan diri sendiri,JLPT_1 JLPT,h*j3Yxxcj{
～画,～かく,~ strokes,~ pukulan,JLPT_1 JLPT,G#l-jHUMTG
学芸,がくげい,"arts and sciences, liberal arts","seni dan sains, seni liberal",JLPT_1 JLPT,xM-CyLgdV}
格差,かくさ,"difference, disparity","perbedaan, disparitas",JLPT_1 JLPT,zvfu/3%U&J
拡散,かくさん,"scattering, diffusion","hamburan, difusi",JLPT_1 JLPT,y__Cg;3rb:
