expression,reading,meaning,meaning_indonesia,tags,guid
または,または,"or, otherwise","atau, sebaliknya",JLPT JLPT_N4,J-^^Uw<Tl~
けがする,けがする,"injury (to animate object), hurt","cedera (untuk menghidupkan objek), sakit",JLPT JLPT_N4,NP:|wpXW(M
以下,いか,"less than, below","kurang dari, di bawah",JLPT JLPT_N4,DS5y_+4p`Y
選ぶ,えらぶ,to choose; to select,untuk memilih;,Genki Genki_Ln.17 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,Jo*`4U5e.W
～ばかり,～ばかり,"just did ~, only","baru saja ~, saja",JLPT JLPT_N4,vbW68h-IIc
心,こころ,"heart, mind","hati, pikiran",JLPT JLPT_N4,Fkhe%Dz2nb
～だす,～だす,to start doing ~,untuk mulai melakukan ~,JLPT JLPT_N4,B+=k~owmr!
サラダ,サラダ,salad,salad,JLPT JLPT_N4,J3A=]P#ec<
届ける,とどける,to deliver (v.t.),untuk menyampaikan (v.t.),Intermediate_Japanese_Ln.9 JLPT JLPT_N4,tA&cXA55C=
挨拶,あいさつする,greet(ing),salam),JLPT JLPT_N4,h|NjvFq!b]
景色,けしき,"scenery, landscape","pemandangan, lanskap",JLPT JLPT_N4,Cd#u9/v:Pu
確か,たしか,"if I remember correctly; certain, definite",jika saya ingat dengan benar;,Intermediate_Japanese_Ln.4 JLPT JLPT_N4,v&7%T>e{{z
ステーキ,ステーキ,steak,steak,JLPT JLPT_N4,K0B$/YQ?Op
食料品,しょくりょうひん,"foodstuff, groceries","bahan makanan, bahan makanan",JLPT JLPT_N4,kg/Pg!K6&w
森,もり,forest,hutan,JLPT JLPT_N4,mJkKf?UAUT
以内,いない,"within, less (no more) than","dalam, kurang (tidak lebih) dari",JLPT JLPT_N4,EyK>c0C[$K
予定,よてい,"plans, arrangement, schedule","rencana, pengaturan, jadwal",Genki Genki_Ln.15 Intermediate_Japanese_Ln.15 JLPT JLPT_N4,I$<#IwHCvW
オーバー,オーバー,"overcoat; over, exceeding, exaggeration",mantel;,JLPT JLPT_N4,umd4AX=/RI
乾く,かわく,to get dry,menjadi kering,JLPT JLPT_N4,s+Ju<mmF]C
石,いし,stone,batu,JLPT JLPT_N4,gg2=(OnQKh
思い出す,おもいだす,"to recall, to remember","untuk mengingat, untuk mengingat",Intermediate_Japanese_Ln.8 JLPT JLPT_N4,O?8pX)Ooz*
踊る,おどる,to dance,untuk menari,Genki Genki_Ln.9 JLPT JLPT_N4,LnHUFv$!`;
細かい,こまかい,"small; fine, minute",kecil;,JLPT JLPT_N4,PrWma5VeE[
塗る,ぬる,"to paint, to plaster","untuk mengecat, untuk memplester",JLPT JLPT_N4,gb*{+)EK`F
ご主人,ごしゅじん,"(your, her) husband","suami (kamu, dia).",Genki Genki_Ln.14 JLPT JLPT_N4,"Gb,y/-3SAS"
珍しい,めずらしい,"unusual, rare","tidak biasa, jarang",Intermediate_Japanese_Ln.4 JLPT JLPT_N4,LG3n^a@XAC
用,よう,"errand, task, business (to take care of)","tugas, tugas, bisnis (untuk diurus)",Intermediate_Japanese_Ln.9 JLPT JLPT_N4,CvxvGX`|/>
公務員,こうむいん,"government worker, public servant","pegawai pemerintah, pegawai negeri",JLPT JLPT_N4,p;42%b%y:T
お嬢さん,おじょうさん,(someone's) daughter (polite),putri (seseorang) (sopan),Genki Genki_Ln.22 JLPT JLPT_N4,Ee+d{e?WRj
用意,ようい,preparation,persiapan,JLPT JLPT_N4,"PJ%Q,E{$_L"
探す,さがす,"to search, to seek, to look for","untuk mencari, mencari, mencari",Genki Genki_Ln.15 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,h4(YO`o85t
形,かたち,shape,membentuk,JLPT JLPT_N4,f7_i%J0-/Y
運転,うんてんする,driving,penggerak,JLPT JLPT_N4,r!zv#R0ur*
すっかり,すっかり,"all, completely","semuanya, sepenuhnya",JLPT JLPT_N4,nV=]]BK.9=
アナウンサー,アナウンサー,announcer,penyiar,JLPT JLPT_N4,oG?shn0:uO
お土産,おみやげ,souvenir,suvenir,Genki Genki_Ln.4 JLPT JLPT_N4,IKS:}hgF8q
消しゴム,けしゴム,eraser,penghapus,JLPT JLPT_N4,"gW^biR[nM,"
旅館,りょかん,a Japanese inn,sebuah penginapan Jepang,Genki Genki_Ln.15 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,Ke`aN1|5T#
海岸,かいがん,"coast, seashore","pantai, pantai laut",JLPT JLPT_N4,O1]Ne=Q0*.
寂しい,さびしい,"lonely, lonesome","kesepian, kesepian",Genki Genki_Ln.9 JLPT JLPT_N4,pi{)YOFX|t
火,ひ,fire,api,JLPT JLPT_N4,gjC}:7>!AJ
育てる,そだてる,to raise (v.t.); to bring up,untuk menaikkan (v.t.);,Genki Genki_Ln.22 JLPT JLPT_N4,r6b~+z#uh_
味噌,みそ,"miso, bean paste","miso, pasta kacang",JLPT JLPT_N4,FzA7odIzvp
お祝い,おいわい,"congratulation, celebration","selamat, perayaan",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,sQaWTq!hP`
乗り物,のりもの,vehicle,kendaraan,JLPT JLPT_N4,i9[ZI9WM}X
案内,あんないする,"information, guidance","informasi, bimbingan",JLPT JLPT_N4,DO_nJ<yYaJ
通う,かよう,to go back and forth; to commute,untuk bolak-balik;,JLPT JLPT_N4,D<g$_r(YBs
連れる,つれる,"to lead, to take (a person)","untuk memimpin, untuk mengambil (seseorang)",JLPT JLPT_N4,J&sg+H>0p_
技術,ぎじゅつ,"technique, technology, skill","teknik, teknologi, keterampilan",JLPT JLPT_N4,PCC!&zGiCY
小鳥,ことり,small bird,burung kecil,JLPT JLPT_N4,G|$muceS&O
下宿,げしゅく,"lodging, boarding house","penginapan, rumah kos",JLPT JLPT_N4,"bmjB!,8T=p"
ジャム,ジャム,jam,selai,JLPT JLPT_N4,D@h7*f7p?d
招待,しょうたいする,invitation,undangan,JLPT JLPT_N4,c$Y~;QF){;
鏡,かがみ,mirror,cermin,JLPT JLPT_N4,v%J5x[E:;(
はず,はず,it should be so,seharusnya begitu,JLPT JLPT_N4,Jg5{R&fxyH
法律,ほうりつ,law,hukum,JLPT JLPT_N4,O9|FD5Fq3.
進む,すすむ,"to advance, to proceed","untuk maju, untuk melanjutkan",JLPT JLPT_N4,b6Re}g0};8
楽む,たのしむ,to enjoy,untuk menikmati,JLPT JLPT_N4,iCe:{Xn-6L
貿易,ぼうえき,trade,berdagang,JLPT JLPT_N4,bc9Yp10YbE
反対,はんたい,"oppose, opposition, resistance","menentang, oposisi, perlawanan",JLPT JLPT_N4,KY]P)[osSM
おる,おる,-- extra-modest expression for いる --,-- ekspresi ekstra-sederhana untuk いる --,Genki Genki_Ln.20 JLPT JLPT_N4,Adc_Jds{te
申す,もうす,-- extra-modest (humble) expression for 言う (いう) --,-- ekspresi ekstra-sederhana (rendah hati) untuk 言う (いう) --,Genki Genki_Ln.20 JLPT JLPT_N4,e<WJ-6`NVb
試験,しけん,an exam,sebuah ujian,Genki Genki_Ln.9 JLPT JLPT_N4,bUCd_5rR^-
真面目,まじめ,"diligent, serious","rajin, serius",JLPT JLPT_N4,xK*F{fx?.z
ごらんになる,,-- honorific expression for みる --,-- ekspresi kehormatan untuk みる --,Genki Genki_Ln.19 JLPT JLPT_N4,k(j]!OR1gM
店員,てんいん,clerk; shop-employee,staf;,Intermediate_Japanese_Ln.6 JLPT JLPT_N4,GeFU%up;F{
泊まる,とまる,to stay (over night) (v.i.),untuk menginap (bermalam) (v.i.),JLPT JLPT_N4,IbHq#Ubd>&
よろしい,よろしい,"(hon.) good, OK, all right","(Hon.) bagus, oke, baiklah",JLPT JLPT_N4,Ah<}g#ysAC
今夜,こんや,"this evening, tonight","malam ini, malam ini",JLPT JLPT_N4,qWO]e*;%U}
おつり,おつり,change; balance of money returned to the purchaser,mengubah;,JLPT JLPT_N4,wx#vXTnj!Z
チェックする,チェックする,check,memeriksa,JLPT JLPT_N4,o%*Ndg~YHB
会話,かいわ,conversation,percakapan,JLPT JLPT_N4,dD;CvmzQ9b
空気,くうき,"air, atmosphere","udara, atmosfer",Genki Genki_Ln.8 JLPT JLPT_N4,C)1Z!^eB^|
交通,こうつう,"traffic, transportation","lalu lintas, transportasi",JLPT JLPT_N4,AyJ>}k*DyK
ワープロ,ワープロ,word processor,pengolah kata,JLPT JLPT_N4,!Qc[fI`%{
喜ぶ,よろこぶ,"to rejoice, to be delighted, to be glad","untuk bersukacita, untuk menjadi gembira, untuk menjadi gembira",JLPT JLPT_N4,DF7Py?yTD[
急行,きゅうこう,express train or bus,kereta ekspres atau bus,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,t]K/5%].:3
皆,みな,everyone,setiap orang,JLPT JLPT_N4,r56e/uzKVH
味,あじ,"flavor, taste","rasa, rasa",JLPT JLPT_N4,B]?q9zUNzO
空港,くうこう,airport,bandara,Genki Genki_Ln.20 JLPT JLPT_N4,Qgx/]mMiIj
手袋,てぶくろ,glove(s),sarung tangan),Genki Genki_Ln.10 JLPT JLPT_N4,LM6P1@!I~2
校長,こうちょう,"principal, headmaster","kepala sekolah, kepala sekolah",JLPT JLPT_N4,eI/Ghjq;7/
ごちそう,ごちそう,"feast, treating (someone)","pesta, mentraktir (seseorang)",JLPT JLPT_N4,D/ibPniDYT
踊り,おどり,dance,menari,JLPT JLPT_N4,J=*Z|>n+QR
興味,きょうみ,interest (in something),minat (pada sesuatu),JLPT JLPT_N4,DIyl0xA#)2
引っ越す,ひっこす,to move to a new place of residence,untuk pindah ke tempat tinggal baru,JLPT JLPT_N4,EGeSfwOFZ.
冷房,れいぼう,"cooling, air conditioning","pendingin, AC",JLPT JLPT_N4,stZHJs{qvP
都合,つごう,"circumstances, convenience","keadaan, kenyamanan",JLPT JLPT_N4,b;szYJp1~0
遠慮,えんりょする,"restraint, reserve, hesitate","menahan diri, menahan diri, ragu-ragu",JLPT JLPT_N4,uqPUmCD*1n
亡くなる,なくなる,to pass away,untuk meninggal dunia,JLPT JLPT_N4,Iq_q:mI=}n
科学,かがく,science,sains,Genki Genki_Ln.1 JLPT JLPT_N4,gWOi-(wW;M
はっきり,はっきり,"clearly, distinctly","jelas, jelas",JLPT JLPT_N4,soMm6B)m]t
差し上げる,さしあげる,-- humble expression for あげる --,-- ekspresi rendah hati untuk あげる --,Genki Genki_Ln.20 JLPT JLPT_N4,zkSrvJWm{I
気持ち,きもち,"feeling, sensation, mood","perasaan, sensasi, suasana hati",JLPT JLPT_N4,P!ajdoiyb.
祖父,そふ,grandfather,kakek,JLPT JLPT_N4,ytyAfRG*6x
港,みなと,"harbor, port","pelabuhan, pelabuhan",JLPT JLPT_N4,sHl5)cnUcM
予約,よやく,reservation,reservasi,Genki Genki_Ln.10 JLPT JLPT_N4,rSce1JPbkI
凄い,すごい,"terrific, great","hebat, hebat",JLPT JLPT_N4,P~)7jIfH{m
入学,にゅうがくする,entry to school or university,masuk ke sekolah atau universitas,JLPT JLPT_N4,"jo:/>1,9uU"
片付ける,かたづける,"to (clean) tidy up (v.t.), to put away","untuk (membersihkan) merapikan (v.t.), menyingkirkan",JLPT JLPT_N4,Ef_Twp5ERS
写す,うつす,to copy (v.t.); to photograph,untuk menyalin (v.t.);,JLPT JLPT_N4,x|L%TU)*iv
パソコン,パソコン,(personal) computer,komputer (pribadi).,JLPT JLPT_N4,tQ#JE!pNrV
部長,ぶちょう,department (division) manager,manajer departemen (divisi).,Genki Genki_Ln.19 Intermediate_Japanese_Ln.15 JLPT JLPT_N4,O:v<m}n3*n
火事,かじ,fire,api,JLPT JLPT_N4,Kll.Pvc/gB
足す,たす,to add (numbers),untuk menambahkan (angka),JLPT JLPT_N4,M:pOTP>t7-
教会,きょうかい,church,gereja,Intermediate_Japanese_Ln.9 JLPT JLPT_N4,oA&[8r+GKm
彼ら,かれら,they (usually male),mereka (biasanya laki-laki),JLPT JLPT_N4,k?K1].&L.0
一杯,いっぱい,"full, to the utmost","penuh, semaksimal mungkin",JLPT JLPT_N4,w&/o{@M=$:
アメリカ,アメリカ,"America, U.S.A.","Amerika, A.S.",Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_N4,IVipO?aKE#
男性,だんせい,man; male,pria;,JLPT JLPT_N4,r6Y+#Vxx9S
理由,りゆう,reason,alasan,JLPT JLPT_N4,P7}t{e2du#
生産,せいさんする,production; to produce,produksi;,JLPT JLPT_N4,pm+O;C4U:>
着物,きもの,kimono; Japanese traditional dress,kimono;,Genki Genki_Ln.13 JLPT JLPT_N4,"A(ZdyF5k,T"
おもちゃ,おもちゃ,a toy,sebuah mainan,Genki Genki_Ln.11 JLPT JLPT_N4,Cf`[JaXL7u
暮れる,くれる,"to get dark, to come to an end","menjadi gelap, berakhir",JLPT JLPT_N4,i-JL+Sl!mg
釣る,つる,to fish,untuk memancing,JLPT JLPT_N4,"GWJ%g`TG,o"
～ちゃん,～ちゃん,suffix for familiar (female) person,akhiran untuk orang yang dikenal (perempuan).,JLPT JLPT_N4,r2m3z~%1s]
打つ,うつ,"to hit, to strike","untuk memukul, untuk menyerang",JLPT JLPT_N4,pBs^gx/@>a
あんな,あんな,"such, like that","seperti itu, seperti itu",JLPT JLPT_N4,K%g**4JE#C
謝る,あやまる,to apologize,untuk meminta maaf,JLPT JLPT_N4,C%+Y^2-4l[
昼間,ひるま,"daytime, during the day","siang hari, siang hari",JLPT JLPT_N4,p3^ge-^eJl
教育,きょういく,education,pendidikan,JLPT JLPT_N4,HW9*4`esHu
女性,じょせい,woman,wanita,JLPT JLPT_N4,E9gO2XIg*K
米,こめ,uncooked rice,nasi mentah,JLPT JLPT_N4,"t,HSQDh#2"
邪魔,じゃま,"hindrance, intrusion","halangan, intrusi",JLPT JLPT_N4,c]>yivA`ny
国際,こくさい,international,internasional,JLPT JLPT_N4,f~g3tMo97^
隅,すみ,corner,sudut,JLPT JLPT_N4,eeOvjZ5zl.
伺う,うかがう,"humble form of 行く (いく), 聞く (きく) and 来る (くる)","bentuk sederhana dari 行く (いく), 聞く (きく) dan 来る (くる)",JLPT JLPT_N4,Lmfy{2F]$A
再来週,さらいしゅう,the week after next,minggu berikutnya,JLPT JLPT_N4,kKHM?VM`7o
夢,ゆめ,a dream,sebuah mimpi,Genki Genki_Ln.11 JLPT JLPT_N4,lZn7[}J9+0
喉,のど,throat,tenggorokan,JLPT JLPT_N4,c+C3t7I~.8
最近,さいきん,"recently, nowadays, in recent years, most recent, latest","baru-baru ini, saat ini, dalam beberapa tahun terakhir, terbaru, terbaru",Genki Genki_Ln.15 Intermediate_Japanese_Ln.9 JLPT JLPT_N4,e2RD]Myt9A
周り,まわり,surroundings,lingkungan,JLPT JLPT_N4,fhT%f*K[Vx
歴史,れきし,history,sejarah,Genki Genki_Ln.1 Genki_Ln.2 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,lQ}Sxv&`A!
不便,ふべん,inconvenience,ketidaknyamanan,JLPT JLPT_N4,C!<M[IO(?_
血,ち,blood,darah,JLPT JLPT_N4,0ihaC]*Q^
～続ける,～つづける,to continue doing ~,untuk terus melakukan ~,JLPT JLPT_N4,JHO_m/Gf)j
毛,け,"hair, fur","rambut, bulu",JLPT JLPT_N4,gsy(C|!IEU
ひどい,ひどい,"terrible, awful, unfair, cruel","mengerikan, mengerikan, tidak adil, kejam",Genki Genki_Ln.21 Intermediate_Japanese_Ln.4 JLPT JLPT_N4,M6<?LBefmj
例えば,たとえば,"for example, e.g.","misalnya, mis.",Genki Genki_Ln.17 Intermediate_Japanese_Ln.2 JLPT JLPT_N4,n/o*9@bFx6
中々,なかなか,"very, considerably, quite","sangat, sangat, cukup",JLPT JLPT_N4,@YWCVJq=)
随分,ずいぶん,extremely,sangat,JLPT JLPT_N4,NMl:D%#1zF
～やすい,～やすい,easy to do ~,mudah dilakukan ~,JLPT JLPT_N4,exjp1w(~N7
押し入れ,おしいれ,closet,lemari,JLPT JLPT_N4,Al&#S)GWr$
電灯,でんとう,electric light,lampu listrik,JLPT JLPT_N4,jodPP9K~W{
叱る,しかる,to scold,untuk memarahi,JLPT JLPT_N4,LMzmk?%TI!
サンダル,サンダル,sandal,sandal,JLPT JLPT_N4,nKx7m0Vnj8
びっくりする,びっくりする,to be surprised,terkejut,Genki Genki_Ln.21 JLPT JLPT_N4,Cr@7!m+n{m
うまい,うまい,delicious; skillful; fortunate,lezat;,JLPT JLPT_N4,"C`4~Q!,KRn"
変える,かえる,"to change, to alter, to vary","mengubah, mengubah, memvariasikan",JLPT JLPT_N4,x+80xLQg^-
講堂,こうどう,auditorium,auditorium,JLPT JLPT_N4,ktg9A%:iyA
子,こ,child,anak,JLPT JLPT_N4,u.wVLBCC7[
沸かす,わかす,to boil,mendidih,JLPT JLPT_N4,"d,.x::f0>g"
レジ,レジ,register,daftar,JLPT JLPT_N4,m?VOxpy?_K
しばらく,しばらく,little while,sebentar lagi,JLPT JLPT_N4,w1JlkP{0C8
特に,とくに,particularly,khususnya,Intermediate_Japanese_Ln.3 JLPT JLPT_N4,Qf=L0@hP&F
空く,あく,"to open, to become empty (vacant)","untuk membuka, menjadi kosong (kosong)",JLPT JLPT_N4,Cg0$u|Ogik
計画,けいかくする,"plan, project, schedule","rencana, proyek, jadwal",JLPT JLPT_N4,s2fE.u9}xk
通り,とおり,"~ Street, ~ Avenue","~ Jalan, ~ Jalan",JLPT JLPT_N4,QBI<)8t#SN
下着,したぎ,underwear,pakaian dalam,JLPT JLPT_N4,tFl(JKOvJ3
経済,けいざい,"economics, finance, economy","ekonomi, keuangan, ekonomi",JLPT JLPT_N4,rJHgD<t_i_
こう,こう,"like this, this way","seperti ini, lewat sini",JLPT JLPT_N4,Q%+*%s6}J9
是非,ぜひ,"certainly, by all means; without fail","tentu saja, dengan segala cara;",Genki Genki_Ln.9 Intermediate_Japanese_Ln.15 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,kray(3KD^X
裏,うら,"reverse side, back","sisi sebaliknya, kembali",JLPT JLPT_N4,pQ2heE~587
為,ため,"good, advantage, in order to","bagus, keuntungan, untuk",JLPT JLPT_N4,Fly+C7B(R*
おいでになる,おいでになる,(hon.) to be,(Yang Mulia) menjadi,JLPT JLPT_N4,ok-j:Fq]#X
変わる,かわる,"to change (v.i.), to be transformed, to vary","untuk mengubah (v.i.), untuk diubah, untuk memvariasikan",Intermediate_Japanese_Ln.4 JLPT JLPT_N4,N?)pR_`l)L
以外,いがい,"other than, with the exception of, excepting","selain, dengan pengecualian, kecuali",Intermediate_Japanese_Ln.3 JLPT JLPT_N4,io5npAJ^ZJ
済む,すむ,"to finish, to end","untuk menyelesaikan, untuk mengakhiri",JLPT JLPT_N4,eQV4%/qxB)
ハンバーグ,ハンバーグ,hamburger steak,steak hamburger,JLPT JLPT_N4,zs3r)kO4N*
市,し,city,kota,JLPT JLPT_N4,rXed<x$qC(
引き出し,ひきだし,drawer,laci,JLPT JLPT_N4,tGG+yHdqmL
遊び,あそび,play,bermain,JLPT JLPT_N4,"O8zue,3OP7"
支度,したくする,preparation,persiapan,JLPT JLPT_N4,QsqU&|{INc
～始める,～はじめる,to start doing ~,untuk mulai melakukan ~,JLPT JLPT_N4,BA.Jz]NK1.
見える,みえる,to be visible; -- polite verb meaning 来る (くる) --,untuk terlihat;,Genki Genki_Ln.15 JLPT JLPT_N4,cEonZn&vE$
十分,じゅうぶん,enough,cukup,JLPT JLPT_N4,vgB;={Nvrv
音,おと,"sound, note","suara, perhatikan",Genki Genki_Ln.20 JLPT JLPT_N4,y~nFfa-~?d
きっと,きっと,"surely, definitely, undoubtedly, certainly","pasti, pasti, tidak diragukan lagi, tentu saja",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,>[X6H]9HU
まず,まず,"first (of all), to start with","pertama (pertama-tama), untuk memulai",Genki Genki_Ln.18 JLPT JLPT_N4,b.U+m9N1DV
遠く,とおく,"far away, distant","jauh sekali, jauh",JLPT JLPT_N4,P.EKUt5=[B
大体,だいたい,approximately; in most cases; in general; to begin with (same as もともと),sekitar;,Intermediate_Japanese_Ln.15 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,PoQwq(:pGi
折れる,おれる,"to break, to be folded, to give in; to turn (a corner)","untuk mematahkan, untuk dilipat, untuk menyerah;",JLPT JLPT_N4,"C>N,+q5aTm"
正しい,ただしい,correct,benar,JLPT JLPT_N4,ynVxN8fR|I
輸入,ゆにゅう,import,impor,JLPT JLPT_N4,c#?sbZfFpt
返事,へんじ,"reply, answer","jawab, jawab",JLPT JLPT_N4,KqUGjMWU_#
都,と,metropolitan,metropolitan,JLPT JLPT_N4,OcM{?!kX-7
産業,さんぎょう,industry,industri,JLPT JLPT_N4,r<I`MSX5aQ
伝える,つたえる,"to convey (a message); to tell, to report",untuk menyampaikan (pesan);,Genki Genki_Ln.20 Intermediate_Japanese_Ln.15 JLPT JLPT_N4,"z>dT,I0S3h"
お金持ち,かねもち; おかねもち,rich person,orang kaya,JLPT JLPT_N4,H?Z`hWb&65
説明,せつめい,explanation,penjelasan,JLPT JLPT_N4,jzx*<D-6cG
島,しま,island,pulau,Intermediate_Japanese_Ln.5 JLPT JLPT_N4,AOZjwUDN5g
道具,どうぐ,tool,alat,JLPT JLPT_N4,Me$$/AnEcv
滑る,すべる,"to slide, to slip","meluncur, tergelincir",JLPT JLPT_N4,nobw)6B/(-
それほど,それほど,to that degree; extent,sampai tingkat itu;,JLPT JLPT_N4,tq|Owona;B
以上,いじょう,more than; this is all,lebih dari;,JLPT JLPT_N4,kbfzlR:5u>
～まま,～まま,as it is,sebagaimana adanya,JLPT JLPT_N4,j#zKPMXsT3
特急,とっきゅう,limited express (train faster than an express),ekspres terbatas (berlatih lebih cepat dari ekspres),JLPT JLPT_N4,sOgOxrQFHN
プレゼント,プレゼント,"present, gift","hadiah, hadiah",Genki Genki_Ln.12 JLPT JLPT_N4,FrsjD-2$(X
～(に) よると,～(に) よると,according to ~,menurut ~,JLPT JLPT_N4,erz+S2{yL|
妻,つま,wife (humble),istri (rendah hati),JLPT JLPT_N4,pfL{;:Bm<O
帰り,かえり,"return, coming back","kembali, kembali",JLPT JLPT_N4,A1{^9x(Ly$
具合,ぐあい,"condition, state, health","kondisi, keadaan, kesehatan",JLPT JLPT_N4,Ha+Fpz*nIy
堅; 硬; 固い,かたい,"solid, hard, firm","padat, keras, kokoh",JLPT JLPT_N4,Qr]]OTGag7
駐車場,ちゅうしゃじょう,parking lot,tempat parkir,JLPT JLPT_N4,Q9!i44Gj}q
スーツ,スーツ,suit,setelan,JLPT JLPT_N4,"M~,%txA#EO"
危険,きけん,"danger, risk, hazard","bahaya, risiko, bahaya",Intermediate_Japanese_Ln.15 JLPT JLPT_N4,f#x=KD-)bk
髪,かみ,hair,rambut,Genki Genki_Ln.7 JLPT JLPT_N4,roFwJrlfKR
天気予報,てんきよほう,weather forecast,ramalan cuaca,Genki Genki_Ln.8 JLPT JLPT_N4,rN#1gCRiI^
彼女,かのじょ,girlfriend; she,pacar perempuan;,Genki Genki_Ln.12 JLPT JLPT_N4,xL3J@WlS{%
間,あいだ,"space, interval","ruang, interval",JLPT JLPT_N4,MXEynMn6*x
卒業,そつぎょう,graduation,kelulusan,JLPT JLPT_N4,yOSz]L8FJS
それで,それで,"and (conj.), thereupon, because of that","dan (konj.), kemudian, karena itu",JLPT JLPT_N4,rZ[:sRogcN
枝,えだ,"branch, twig","cabang, ranting",JLPT JLPT_N4,FAl}KCf:~8
専門,せんもん,major; speciality,besar;,Genki Genki_Ln.1 JLPT JLPT_N4,k;2({qLOGz
そろそろ,そろそろ,"gradually, soon","secara bertahap, segera",JLPT JLPT_N4,Q|>K44^N++
送る,おくる,"to send, to dispatch","untuk mengirim, untuk mengirim",Genki Genki_Ln.14 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,e1#_xMS<)@
あげる,あげる,to give,untuk memberi,JLPT JLPT_N4,w6NP$s|k?>
騒ぐ,さわぐ,"to make noise, to clamor","membuat keributan, membuat keributan",JLPT JLPT_N4,E-jyAQ+?xZ
尋ねる,たずねる,to inquire (same as 質問する),untuk bertanya (sama seperti 質問する),JLPT JLPT_N4,B;}vj%?W%Z
放送,ほうそうする,broadcasting,penyiaran,JLPT JLPT_N4,HT(fAub[.Z
政治,せいじ,politics,politik,Genki Genki_Ln.1 Genki_Ln.12 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,LbbPDli%;(
市民,しみん,citizen,warga negara,JLPT JLPT_N4,KnKdz8[G7<
ファックス,ファックス,fax,fax,JLPT JLPT_N4,sG]9/N[j*>
負ける,まける,"to lose (a game) (v.i.), to be defeated","kalah (permainan) (v.i.), dikalahkan",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,t-t/Tk%(SS
指輪,ゆびわ,(finger) ring,(jari) cincin,Genki Genki_Ln.14 JLPT JLPT_N4,By9Xq1v4J{
田舎,いなか,"rural, countryside","pedesaan, pedesaan",JLPT JLPT_N4,qO;XWK^*$*
見つける,みつける,"to discover, to find (v.t.)","menemukan, menemukan (v.t.)",Genki Genki_Ln.21 JLPT JLPT_N4,JSBDi~:Uul
高校生,こうこうせい,high school student,siswa sekolah menengah,Genki Genki_Ln.1 JLPT JLPT_N4,s|lGtGG1fi
講義,こうぎ,a lecture,sebuah kuliah,Intermediate_Japanese_Ln.5 JLPT JLPT_N4,q(32?ls(B3
そんなに,そんなに,"so much, like that","sangat banyak, seperti itu",JLPT JLPT_N4,pG^h}ycj3(
昼休み,ひるやすみ,"lunch break, noon recess","istirahat makan siang, istirahat siang",JLPT JLPT_N4,lFVXC$-X%0
忘れ物,わすれもの,"lost article, something forgotten","artikel hilang, ada yang terlupakan",JLPT JLPT_N4,c>u.i{BBMW
下りる,おりる,"to get down, to go; come down","untuk turun, untuk pergi;",JLPT JLPT_N4,"d9,VKd=RU="
腕,うで,arm (in reference to body),lengan (mengacu pada tubuh),Intermediate_Japanese_Ln.7 JLPT JLPT_N4,AiW}:.4@ze
訳,わけ,reason; explanation,alasan;,JLPT JLPT_N4,usS4^zwn[>
承知,しょうちする,"consent, acceptance","persetujuan, penerimaan",JLPT JLPT_N4,H:BcaGHLGe
日記,にっき,"diary, journal","buku harian, jurnal",Genki Genki_Ln.18 JLPT JLPT_N4,"BMMWqQZ#[,"
高校; 高等学校,こうこう; こうとうがっこう,high school; senior high school,sekolah menengah atas;,JLPT JLPT_N4,KKBE9#o7:F
似る,にる,"to resemble, to be similar","menyerupai, menjadi serupa",JLPT JLPT_N4,i`_a~no4G!
～おわる,～おわる,to finish doing ~,untuk menyelesaikan melakukan ~,JLPT JLPT_N4,qwf(Try}@4
暖房,だんぼう,heating,pemanas,JLPT JLPT_N4,dvn`p4e0P6
留守,るす,absence; not at home,ketiadaan;,Genki Genki_Ln.21 JLPT JLPT_N4,BK(gHI]ze3
割合,わりあい,"rate, ratio, percentage","tarif, rasio, persentase",JLPT JLPT_N4,vGMwhqQc%{
寺,てら,Buddhist temple,Kuil Budha,JLPT JLPT_N4,Hiagec7p~[
慣れる,なれる,to grow accustomed to,untuk menjadi terbiasa,JLPT JLPT_N4,m30?cbGY7<
普通,ふつう,common; usual,umum;,Intermediate_Japanese_Ln.2 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,s:f#izD=u2
手伝う,てつだう,to help,untuk membantu,JLPT JLPT_N4,s_Pi8jG!6%
なるほど,なるほど,I see; I now understand,Jadi begitu;,Intermediate_Japanese_Ln.6 JLPT JLPT_N4,b:e%Ujd8JZ
くださる,くださる,"(hon.) to give, to confer","(hon.) memberi, berunding",JLPT JLPT_N4,sPmqOCO=cT
息子,むすこ,(humble) son,(rendah hati) nak,JLPT JLPT_N4,xE%1d@q~=0
